Город;Случаев;Выздоровело;Смертей;Случаев_на_млн;Смертей_на_млн
 Москва;31981;2267;233;2520;18.4
 Московская область;6590;186;56;857;7.3
 Санкт-Петербург;2267;327;14;420;2.6
 Нижегородская область;929;49;6;290;1.9
 Ленинградская область;537;24;0;286;0
 Республика Коми;527;21;4;643;4.9
 Мурманская область;506;56;3;682;4
 Краснодарский край;481;72;11;85;1.9
 Тульская область;436;49;2;297;1.4
 Дагестан;417;43;11;134;3.5
 Брянская область;399;62;1;335;0.8
 Ростовская область;398;15;0;95;0
 Ингушетия;397;38;12;784;23.7
 Башкортостан;396;34;14;98;3.5
 Красноярский край;392;28;2;137;0.7
 Рязанская область;392;15;0;353;0
 Мордовия;357;11;1;451;1.3
 Тверская область;356;15;0;282;0
 Татарстан[b];355;33;0;91;0
 Марий Эл;333;46;1;490;1.5
 Калужская область;330;9;8;330;8
 Чечня;323;19;6;219;4.1
 Тюменская область;319;28;2;207;1.3
 Владимирская область;293;11;5;216;3.7
 Ставропольский край;277;37;5;99;1.8
 Курская область;276;26;3;250;2.7
 Хабаровский край;272;18;5;207;3.8
 Пермский край;266;37;3;102;1.2
 Чувашия;262;14;5;215;4.1
 Оренбургская область;254;32;2;130;1
 Смоленская область;244;4;2;261;2.1
 Свердловская область;243;60;1;56;0.2
 Тамбовская область;240;14;0;238;0
 Орловская область;238;10;2;324;2.7
 Воронежская область;236;30;7;102;3
 Ивановская область;225;12;2;226;2
 Кировская область;216;18;3;171;2.4
 Липецкая область;213;62;2;187;1.8
 Северная Осетия;211;8;2;303;2.9
 Ханты-Мансийский автономный округ — Югра;203;29;1;121;0.6
 Ярославская область;198;17;0;158;0
 Пензенская область;196;6;5;150;3.8
 Ульяновская область;196;5;2;159;1.6
 Кабардино-Балкария;193;11;1;222;1.2
 Саратовская область;190;19;0;78;0
 Приморский край;166;11;2;88;1.1
 Калининградская область;163;42;1;161;1
 Бурятия;153;49;2;155;2
 Удмуртия;152;8;3;101;2
 Новосибирская область;151;20;4;54;1.4
 Ямало-Ненецкий автономный округ;149;22;1;274;1.8
 Астраханская область;148;13;3;147;3
 Волгоградская область;145;30;2;58;0.8
 Карачаево-Черкесия;145;1;0;311;0
 Белгородская область;144;12;2;93;1.3
 Новгородская область;140;4;1;235;1.7
 Алтайский край;136;9;0;59;0
 Архангельская область;120;18;1;110;0.9
 Якутия;116;16;0;120;0
 Самарская область;115;15;0;36;0
 Вологодская область;114;23;0;98;0
 Адыгея;113;26;3;244;6.5
 Челябинская область;102;38;0;29;0
 Калмыкия;88;12;3;325;11.1
 Костромская область;88;7;2;139;3.2
 Хакасия;87;4;0;163;0
 Иркутская область;75;13;3;31;1.3
 Магаданская область;67;1;0;478;0
 Камчатский край;63;4;0;202;0
 Псковская область;62;9;6;99;9.6
 Забайкальский край;61;5;0;58;0
 Кемеровская область;56;11;1;21;0.4
 Еврейская автономная область;52;6;0;328;0
 Республика Крым[c];46;23;0;24;0
 Омская область;45;17;0;23;0
 Томская область;43;4;0;40;0
 Карелия;30;0;0;49;0
 Амурская область;23;4;0;29;0
 Сахалинская область;19;8;0;39;0
 Севастополь[c];19;5;0;42;0
 Курганская область;15;3;0;18;0
 Тыва;13;0;0;40;0
 Республика Алтай;8;0;0;36;0
 Чукотский автономный округ;6;0;0;39;0
 Ненецкий автономный округ;1;0;0;23;0
